zcta,downloadDate,population,fullyVaxxed,pctFullyVaxxed
46001,2021-09-02,9993,4245,0.424797358150706
46011,2021-09-02,17069,8318,0.487316187240026
46012,2021-09-02,19806,8823,0.445471069372917
46013,2021-09-02,17136,8323,0.485702614379085
46016,2021-09-02,18046,5308,0.294137204920758
46017,2021-09-02,5814,2681,0.461128310973512
46030,2021-09-02,2978,1328,0.445936870382807
46031,2021-09-02,2546,954,0.374705420267086
46032,2021-09-02,51551,35011,0.679152683750073
46033,2021-09-02,38942,27429,0.704355194905244
46034,2021-09-02,6649,3752,0.564295382764326
46035,2021-09-02,1229,426,0.346623270951993
46036,2021-09-02,11678,4472,0.38294228463778
46037,2021-09-02,41890,30112,0.718835044163285
46038,2021-09-02,43381,26806,0.617920287683548
46039,2021-09-02,508,231,0.454724409448819
46040,2021-09-02,12474,8953,0.717732884399551
46041,2021-09-02,22247,8896,0.399874140333528
46044,2021-09-02,3147,1225,0.389259612329202
46045,2021-09-02,39,0,0
46047,2021-09-02,56,0,0
46048,2021-09-02,2117,704,0.332546055739254
46049,2021-09-02,1082,311,0.287430683918669
46050,2021-09-02,2127,645,0.303244005641749
46051,2021-09-02,2817,1239,0.439829605963791
46052,2021-09-02,22443,10708,0.477119814641536
46055,2021-09-02,12638,8541,0.675818958695996
46056,2021-09-02,2238,1004,0.448614834673816
46057,2021-09-02,1269,340,0.267927501970055
46058,2021-09-02,2516,1027,0.40818759936407
46060,2021-09-02,41461,24005,0.578977834591544
46062,2021-09-02,35349,22697,0.642083227248296
46063,2021-09-02,565,106,0.187610619469027
46064,2021-09-02,17168,9576,0.557781919850885
46065,2021-09-02,3444,1336,0.387921022067364
46068,2021-09-02,2872,1018,0.354456824512535
46069,2021-09-02,7220,3064,0.424376731301939
46070,2021-09-02,2336,855,0.366010273972603
46071,2021-09-02,3148,1353,0.429796696315121
46072,2021-09-02,8592,4017,0.467527932960894
46074,2021-09-02,34755,26922,0.774622356495468
46075,2021-09-02,6614,4440,0.671303296038706
46076,2021-09-02,1440,499,0.346527777777778
46077,2021-09-02,29296,23214,0.792394866193337
46103,2021-09-02,162,98,0.604938271604938
46104,2021-09-02,910,377,0.414285714285714
46105,2021-09-02,1794,665,0.370680044593088
46106,2021-09-02,6855,4269,0.622757111597374
46107,2021-09-02,13081,5699,0.435670055806131
46110,2021-09-02,583,219,0.375643224699828
46111,2021-09-02,196,106,0.540816326530612
46112,2021-09-02,37819,23200,0.613448266744229
46113,2021-09-02,15505,6384,0.411738148984199
46115,2021-09-02,1967,738,0.375190645653279
46117,2021-09-02,828,248,0.29951690821256
46118,2021-09-02,5068,2029,0.400355169692186
46120,2021-09-02,5332,2111,0.395911477869467
46121,2021-09-02,5545,2076,0.37439134355275
46122,2021-09-02,16300,7891,0.484110429447853
46123,2021-09-02,36616,23444,0.640266550142014
46124,2021-09-02,8949,3162,0.353335568219913
46125,2021-09-02,55,0,0
46126,2021-09-02,4956,1929,0.389225181598063
46127,2021-09-02,287,151,0.526132404181185
46128,2021-09-02,1824,774,0.424342105263158
46130,2021-09-02,2669,1052,0.394155114275009
46131,2021-09-02,33215,14766,0.444558181544483
46133,2021-09-02,833,273,0.327731092436975
46135,2021-09-02,20462,8185,0.400009774215619
46140,2021-09-02,40292,20370,0.505559416261293
46142,2021-09-02,29696,16920,0.569773706896552
46143,2021-09-02,57211,32064,0.560451661393788
46144,2021-09-02,133,63,0.473684210526316
46146,2021-09-02,416,69,0.165865384615385
46147,2021-09-02,3209,1154,0.359613586787161
46148,2021-09-02,5555,1981,0.356615661566157
46149,2021-09-02,2153,839,0.389688806316767
46150,2021-09-02,1147,325,0.283347863993025
46151,2021-09-02,31589,12744,0.403431574282187
46155,2021-09-02,162,47,0.290123456790123
46156,2021-09-02,1253,460,0.367118914604948
46157,2021-09-02,4103,1512,0.368510845722642
46158,2021-09-02,23152,10552,0.455770559778853
46160,2021-09-02,6321,2367,0.374466065495966
46161,2021-09-02,2569,1015,0.395095367847411
46162,2021-09-02,314,236,0.751592356687898
46163,2021-09-02,13088,7506,0.573502444987775
46164,2021-09-02,4166,1791,0.429908785405665
46165,2021-09-02,1522,599,0.393561103810775
46166,2021-09-02,2167,621,0.286571296723581
46167,2021-09-02,7066,3521,0.498301726577979
46168,2021-09-02,35418,20046,0.565983398272065
46171,2021-09-02,1762,658,0.373439273552781
46172,2021-09-02,2562,812,0.316939890710383
46173,2021-09-02,9905,4159,0.419888944977284
46175,2021-09-02,646,166,0.256965944272446
46176,2021-09-02,27737,12520,0.4513826297004
46180,2021-09-02,976,361,0.369877049180328
46181,2021-09-02,5286,2089,0.395194854332198
46182,2021-09-02,1526,778,0.509829619921363
46183,2021-09-02,15,0,0
